Pregunta de mercado a responder,Por que importa,Donde/como averiguarlo,Respuesta (completar),Confianza del dato (baja/media/alta)
Cuales son los 2-3 rubros con mas dolor de "se me escapan clientes",Define a quien le vendo primero (nicho),Entrevistas a duenos + grupos de Facebook/foros del rubro,,
Cuantos negocios de ese rubro hay en mi zona,Define el tamano del mercado alcanzable,Google Maps + camaras/asociaciones del rubro + INDEC,,
Por que canal llegan los clientes a esos negocios hoy,Confirma que WhatsApp es el dolor real,Preguntar en relevamiento + observar sus perfiles,,
Que % usa WhatsApp Business vs WhatsApp comun,Mide cuan crudo esta el manejo actual,Relevamiento directo,,
Cuanto pagan hoy por software/marketing/agencias,Ancla el precio que puedo cobrar,Preguntar que pagan por web, redes, sistemas,,
Que soluciones ya conocen o usaron,Detecta competencia y objeciones,Pregunta abierta en entrevista,,
Cuanto estarian dispuestos a pagar por mes,Valida el rango de precio,Pregunta de rango (no monto exacto) en entrevista,,
Quien decide la compra en ese tipo de negocio,Define a quien le hablo,Observacion + pregunta en relevamiento,,
Cual es la estacionalidad del rubro,Define cuando vender y cuando no,Preguntar meses fuertes/flojos,,
Que tan satisfechos estan con su forma actual de gestionar,Mide urgencia del problema,Escala 1-5 en entrevista,,
Cuantas resenas/que rating tienen en promedio,Detecta oportunidad del modulo de resenas,Google Maps de varios negocios del rubro,,
Cuantos negocios nuevos del rubro abren por ano en la zona,Mide flujo de clientes potenciales nuevos,Habilitaciones municipales / observacion,,
